t=2026-07-17T10:36:33+0500 lvl=info msg="no configuration paths supplied"
t=2026-07-17T10:36:33+0500 lvl=info msg="using configuration at default config path" path="C:\\Users\\Hassan Irfan\\AppData\\Local\\ngrok\\ngrok.yml"
t=2026-07-17T10:36:34+0500 lvl=info msg="open config file" path="C:\\Users\\Hassan Irfan\\AppData\\Local\\ngrok\\ngrok.yml" err=nil
t=2026-07-17T10:36:34+0500 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-17T10:36:34+0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-17T10:36:34+0500 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-17T10:36:34+0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-17T10:36:34+0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://enhance-wrinkle-disjoin.ngrok-free.dev
t=2026-07-17T10:36:44+0500 lvl=info msg=start pg=/api/tunnels id=473d609fb4e2556a
t=2026-07-17T10:36:44+0500 lvl=info msg=end pg=/api/tunnels id=473d609fb4e2556a status=200 dur=1.9954ms
t=2026-07-17T10:37:12+0500 lvl=info msg="join connections" obj=join id=8da596ec2240 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=c6fbf23cc4ae l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=4fbe12acd736 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=9589ae0f9782 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=7064d9c3cae8 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=50fed2c9b408 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=d6c684e79d6e l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=c59696393b11 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=6ebd8559532e l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=85c6f96da374 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=418af626653d l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=13cf0dcbd326 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=e55be3a86b4f l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=6b1865ad18e9 l=[::1]:3000 r=39.37.177.33:52277
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=590561b7428d l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=0d0ab79cd013 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=2899d36eb503 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=16bba7c4bfc8 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=0b7e5010db12 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=e56a62273097 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=bcd8b800dd2e l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=afd1b336d953 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=70bd8f9680fb l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=cd6efb48cbef l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:14+0500 lvl=info msg="join connections" obj=join id=0da6901ae0e4 l=[::1]:3000 r=39.37.177.33:55159
t=2026-07-17T10:37:15+0500 lvl=info msg="join connections" obj=join id=03de38b2274e l=[::1]:3000 r=39.37.177.33:22089
t=2026-07-17T10:37:21+0500 lvl=info msg="join connections" obj=join id=43a73e4b16f7 l=[::1]:3000 r=39.37.177.33:55159
